c,departure date,payoff,survival rate
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
0,161,7.9,1.0
c,departure date,payoff,survival rate
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
1,161,7.9,1.0
c,departure date,payoff,survival rate
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
2,161,7.9,1.0
c,departure date,payoff,survival rate
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
3,161,7.9,1.0
